"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"," "
"América Latina y el Caribe (excluido altos ingresos)","1456463","1446879","1368294","1227248","1266467","1313815","1345358","1464994","1421962","1471241","1932829.93723","2031106.1462718","2153840.9082253","2253790.4150769","2357197.2718724","2447053","2383083","2361676","2422241.3258653","2450088","1130964.27","1585996.853",""
"República Democrática Popular Lao","6411","6652","6971","7068","8413","9002","9959","9957","10007","9793","11374","12262","15836.128631119","16944","12732","9772","9986","9731","16299","16359","6537","2758",""
"Líbano","10435","10317","10808","10819","11807","12013","11274","12172","12306","13532","19882","21306","21880","23568","23580","24066","24549","25550","25740","26942","9812","13934",""
"Liberia","","","","","","","","","","","","","","","","","","","","","","",""
"Libia","6194","5884","5884","6414","8042","13335","12657","13477","9930","9812","34878.077173779","27770.502063366","16514.431577206","32064","26414","13298","10764","9686","12340","11339","6032.238","9046.238",""
"Santa Lucía","","","","","","","","","","","","","","","","","","","","","","",""
"América Latina y el Caribe","1838871","1916893","1756505","1562182","1584616","1656212","1695244","1833458","1800913","1838212","2303571.6876251","2431147.8240566","2549816.1836156","2732986.4150769","2840587.9966472","2898758","2826420","2748629","2805821.2921387","2826537.5831284","1285637.062","1797138.537",""
"Países menos desarrollados: clasificación de las Naciones Unidas","167795","161861","153359","156369","176521","183126","184038","213090","181228","198073","331174.83444304","379240.94949176","376331.92986924","430081.81523862","437496.15104079","412495","426687","520216","581319.96448969","533290.3","299967.9354","349000.37",""
"Países de ingreso bajo","111103","108810","","","","","","","","","178713.83149949","204933.10191745","195745.87008855","209546","208291.31028976","181611","186418","208832","200417.75353017","204534.3","115158.539","164384.117",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","",""
"Sri Lanka","5206","11386","10480","12603","18699","19712","20979","21020","20512","16632","20921","26052","31373","32636.4","37517","37598","40711","41012","34425","33050","10045","11210",""
"Países de ingreso mediano bajo","744984","754478","753462","777684","866079","918669","1064289","1232976","1260847","1307064","1779172.7701425","1933270.8830653","1949590.1322571","2026106.5322386","2193441.8862623","2346783","2575842","2687746","2961891.5386357","3015516.79","1424913.9624","1607856.246",""
"Ingreso mediano y bajo","3858582","4226606","4138395","4097149","4688840","4990401","5448763","6007235","6049975","6507796","8297583.9931647","8938530.9057305","9433677.4565136","10098261.908309","10891233.072053","11540953","12285251","13045688.138","13835343.040031","14075535.422","7908644.8654","8820642.71",""
"Lesotho","","","","","","","","","","","","","","","","","","","","","","",""
"avanzada del dividendo demográfico","2828120","3197261","3283798","3218826","3665061","3816401","4169909","4686224","4927058","5504592","6378364.1801685","6944807.8745296","7381815.7607027","7908184.5827569","8471671.0273813","9025937","9501394","10149322.67","10693202.070591","11156939.272","6567899.014","7303348.38",""
"Lituania","10197","10418","9613","9839","11224","11930","11059","10823","12238","11633","4972.6349103827","7122","11874","9900","12622","12199","9719","12151","2375","2506","2619","1469",""
"Luxemburgo","34007","38239","25102","40831","42447","42304","43777","47209","47639","51932","38716","38937","43021","44059","47215","48569","48255","48289","51824","51938","32964.6","36357",""
"Letonia","9816","9508","9364","10360","16159","23112","29067","28182","28915","27123","54589","54241","46732","43836","42107","41376","42392","47885","54356","61692","23100","23795",""
"Región Administrativa Especial de Macao, China","11673","14161","15378","14355","21126","23572","25154","25016","19009","14258","13411","14368","15890","17859","20158","21472","23574","22924","24411","28685","6470","6773",""
"Isla de San Martín (parte francesa)","","","","","","","","","","","","","","","","","","","","","","",""
"Marruecos","44542","44262","37160","35937","41526","48651","55239","68847","61298","62037","75306","69940.912476723","61161.300701909","68700","72345","75044","80085","86735","80154","91254","32519","50340",""
"Mónaco","31479","29905","14959","14024","12022","12249","14092","15170","13071","10351","10067","10603","11034.545454545","10956","10928.727","10728","611","3","3","3","","",""
"República de Moldova","3682","3866","3862","4333","4657","4392","4248","4654","4933","5047","6571","7147","6560","7500","8400","8739","9625","14116","13590","11899","2851.909","4934",""
"Madagascar","20491","20129","9433","17202","18016","17911","14142","37310","11861","9566","11714","12332.727272727","13267","9451","10385","8852","7230","7650","10170","10600","4225.333","2038",""
"Maldivas","5970","3286","3417","3520","4224","4520","5108","5006","5006","4971","","","","","26849","31472","33006","33904","26678","27199","9045","7647.367",""
"Oriente Medio y Norte de África","613217","665244","621484","683657","701240","590992","648841","707006","680702","1003079","1267722.2842384","1292819.1501626","1353694.091938","1427157.5","1501061.1416164","1561886","1691849","1780821.468","1812409.7535302","1844219.272","811860.46","1087594.114",""
"México","290412","292208","278456","287017","330441","331225","317856","309633","266244","222356","445796.03302316","386063.99410953","415279.82298919","435792.09","457921.907","508614","555984","567921","583408","605632","322333","445488",""
"Islas Marshall","2324","2744","3876","3911","3683","3083","3573","3508","3510","3480","","","","","","","","2218","2244","1967","1918","2478",""
" Ingreso mediano","3747479","4117796","4049435","4000593","4582372","4879779","5336343","5868889","5938381","6393538","8118870.1616652","8733597.803813","9237931.586425","9888715.9083087","10682941.761763","11359342","12098833","12836856.138","13634925.286501","13871001.122","7793486.3264","8656258.593",""
"Macedonia del Norte","8047","4673","1964","2263","2398","2277","2368","2605","2813","1389","","","","","","","","","","","","",""
"Malí","1518","716","","","","","","","","","4656","5580","2753","360","0","","","","","","","",""
"Malta","15394","15056","14594","14390","14356","14768","15359","16895","17334","18362","16828","14891","13845","14257","14022","13639","12305","12799","20903","19317","6289.09","5635",""
"Myanmar","10329","9709","20624","20611","24729","26460","28700","29235","29514","28499","20485","32354","37798.829816477","38028","49599","51652","65643","62480","64397.964489686","64320","30407.914","20653.338",""
"Oriente Medio y Norte de África (excluido altos ingresos)","296322","356337","297723","340925","333384","360734","391697","412178","382907","419054","556612.17722236","530059.43390233","511465.28530907","556102.5","571311.14161639","510478","556552","624693.468","636327.75353017","637401","282665.37","380154.114",""
"Montenegro","","2411","","4978","4974","5560","","","","","10064.008686211","7707","7485","7164","6492","6864","6842","6436","6887","7192","","20",""
"Mongolia","6200","5947","6264","7358","6702","5332","6169","6158","5592","4783","6528","7194.2584412287","9611.0282613426","4212","5705.561469737","5219","6009","5277","7777","8310","3166","1435",""
"Mariana","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","6698","7257","7501","7662","8585","9768","10490","10791","10943","11260","13705","12957","13263.251468488","19596","19763.599680779","18924","15911","11955","10479","12178","6779","7583",""
"Mauritania","3761","2230","1510","1612","1686","1720","1725","1833","1159","1114","6373","4235","3077","3984","4044","4277","4307","5331","4910","5566","2205","4104",""
"Mauricio","12162","12269","12720","12969","14791","14743","13692","12090","11742","11144","11750","12353","12258","12079","12131","12646","13614","14842","14940","14937","4319","2348",""
"Malawi","4806","4708","4620","4940","5290","5446","5528","5888","4416","4376","3340.3901234568","3172","3201.1669216461","1644","1644","1687","1818","2327","2327","1354","367.394","405.023",""
"Malasia","169263","169840","189382","166716","170054","176152","163665","185052","176549","182002","302185.22246687","336401","343382","430334.45775688","443318.55","463740","447001","473610.67","474940","498878","167785","83981.767",""
"América del Norte","9784346","9517253","8302667","8825200","10554981","10988079","10781083","11004451","10254839","10380744","11329725.619256","11303511.615797","11144558.185577","11008795.336863","10846743","10820701","11000033","11082914","11130969","11315014","6687141","8576845.076",""
"Namibia","5161","5131","5080","6034","6137","6455","6513","6942","5450","5439","8836","9400","11711","8568","9197","10606","11759","13876","14543","1806","593.365","32.358",""
"Nueva Caledonia","","","","","","","","","","","","","","","","","","","","","","",""
"Níger","1518","716","","","","","","","","","0","0","1416","1044","407","469","471","471","","","","447",""
"Nigeria","12761","10667","13154","8987","8254","10227","16045","16936","18005","16851","61789","68014.276344977","65631.507073707","59182","61512.452949339","61474","53971","53696","75594.726523888","68734","51519.349","74453.146",""
"Nicaragua","452","","","","","","","","","","","","","","","","","","","","","",""
"Países Bajos","229386","222539","250114","248246","254647","241084","250811","259827","262848","291713","268542.00576802","293885.83979772","307221","312910","304795","309089","334240","342097","330963.296","361156","170981.388","206208.068",""
"Noruega","320753","306511","270045","248403","254045","","","","","","","","","","","","","","","","","",""
"Nepal","12130","12306","4324","4912","5846","6255","6920","6918","6952","6804","45990","44126","34745","30612","19560","19395","24063","58880","97598","27035","35894","28642",""
"Nauru","","","","","","","","","","1998","342","399","116","96","612","707","862","842","1023","1351","335","255",""
"Nueva Zelandia","240046","266139","242720","247388","196657","209469","220990","219243","220375","217178","207872","206937","203388","203520","189722","186209","181125","184762","187851","192514","123038.32","135902.983",""
