"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Libia","600734","582712","559404","626532","850185","0","1151785","1204107","1213854","1147234","2928705.6798502","2284066.501168","1398125.1342956","2744844","2391856","1430460","1283181","1186424","1442576","1367458","715300.42","968476.425"
"Santa Lucía","","","","","","","","","","","","","","","","","","","","","",""
"América Latina y el Caribe","96507566","101576743","97945064","94799825","100859199","107537262","110439889","120106257","133677728","140453020","178418790.81561","198178802.34158","217297987.70765","234290843.0717","248819232.96744","264217989","266690030","275641368.35","293327220.78599","305061356.55108","121084047.422","187704362.696"
"Países menos desarrollados: clasificación de las Naciones Unidas","7554646","7411821","7387912","7524047","9056444","9802612","10414732","10839781","11082489","11608385","17654275.9209","21331556.216019","22107026.960992","24484619.146004","25368159.471281","25261970","26570744","32239144.630311","38163132.407357","36727918.809941","17000506.794","21246706.426"
"Países de ingreso bajo","4776260","4640077","","","","","","","","","11761536.134862","14168273.539127","13737452.860049","14815345","14719339.159068","12867667","13753911","15919522.08","17823482.468118","18690732.685887","8026937.252","11917901.427"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","",""
"Sri Lanka","1755567","1718331","1740807","1957606","2412889","2817778","3100832","3206766","2951506","2417713","3008322.6918876","3665394","4616417","4793393.4","4756131","4911730","5284585","5403577","5882376","5582446","1240391","871685"
"Países de ingreso mediano bajo","58000401","58792890","58133485","59535530","70498736","78090228","93119782","109462419","112481617","118063704","159737662.15394","180432081.35719","184929417.74987","192112862.87667","214772855.70692","242235295","276588101","305142028.90031","347011867.16694","361220872.84318","148269089.59","153351386.751"
"Ingreso mediano y bajo","287713060","309168780","313390489","324333426","397800671","433652729","480956787","539510129","563983691","617714805","814206288.00236","908079464.28051","979098255.95648","1064697186.5732","1156346540.2156","1271547493","1389419825","1539814983.7703","1686163468.2928","1738769952.8052","841725288.906","933963162.055"
"Lesotho","","","","","","","","","","","","","","","","","","","","","",""
"avanzada del dividendo demográfico","216639000","237815480","258940139","271040893","331760561","347642313","384756400","444476143","485748645","572829124","685670532.06216","761255355.36111","830069110.53528","907272787.66085","985686600.92268","1088963002","1190947049","1323673354","1434010524.1521","1516126027.09","741617825.479","823261040.48"
"Lituania","283836","304051","303865","329271","447883","505409","429657","423585","609847","616514","81450","69445","592996","1009728","1274911","1363946","1046012","1069268","26031","40944","35027","11289"
